algo,n,time_mean,time_std
ear_clipping,5,3.616886679083109e-05,7.802867498646332e-06
ear_clipping,10,0.0001441146247088909,2.237155733029526e-05
ear_clipping,15,0.0002690771361812949,2.6654731813434642e-05
ear_clipping,20,0.00042074583470821383,2.9179474183652016e-05
ear_clipping,25,0.0006190312560647726,5.201788951824752e-05
ear_clipping,30,0.0008831311948597431,7.176408444226274e-05
ear_clipping,35,0.0011386396829038859,0.00010278356203013487
ear_clipping,40,0.0014613812090829015,0.00011382473276747461
ear_clipping,45,0.0017902436899021267,0.00012265331011253626
ear_clipping,50,0.002176652033813298,0.00010925507522219251
ear_clipping,55,0.0025576249696314334,0.00018540982248852562
ear_clipping,60,0.003011777065694332,0.00018787794119426863
ear_clipping,65,0.00353011058177799,0.00020460029591658053
ear_clipping,70,0.0041245957370847465,0.00019732770954961298
ear_clipping,75,0.004588045761920512,0.00017329639115953188
ear_clipping,80,0.005136787495575845,0.0003069688750920131
ear_clipping,85,0.005801787506788969,0.0002074869394862792
ear_clipping,90,0.0065194312017410995,0.000355357150567001
ear_clipping,95,0.007100081234239042,0.0003265002621859413
ear_clipping,100,0.009693152108229696,0.008201004312463898
optimal_minsum,5,2.853951882570982e-05,5.7392961694618644e-06
optimal_minsum,10,0.00019159584771841765,3.660398959492964e-05
optimal_minsum,15,0.0004322104621678591,9.951797242366381e-05
optimal_minsum,20,0.0007634168025106192,0.00017430014072642924
optimal_minsum,25,0.0011775813996791839,0.000255588931886874
optimal_minsum,30,0.0017542501911520958,0.0003844575706955449
optimal_minsum,35,0.002523445803672075,0.0006306099606460905
optimal_minsum,40,0.0033651751931756736,0.0006768029350803478
optimal_minsum,45,0.003751600137911737,0.0010504863191040405
optimal_minsum,50,0.005438787443563342,0.0033345783816817053
optimal_minsum,55,0.005687243887223303,0.001243833154308084
optimal_minsum,60,0.007020364515483379,0.0013062334520449065
optimal_minsum,65,0.007197829242795706,0.0014353077270841661
optimal_minsum,70,0.008851045696064829,0.0021743984054606305
optimal_minsum,75,0.01029947712086141,0.0024630352187078237
optimal_minsum,80,0.011286347871646285,0.0023041994967290757
optimal_minsum,85,0.013464435236528516,0.0024873627277520608
optimal_minsum,90,0.01666946664918214,0.004271785613721063
optimal_minsum,95,0.02142964992672205,0.016080203243944734
optimal_minsum,100,0.02128528959583491,0.005732973807235576
