id,polygon_type,n,algo,time,total_elength,mean_elength,total_dlength,mean_dlength,max_dlength,min_dlength,norm_dlength,norm_max_dlength,norm_min_dlength
convex_polygon_100_0000,convex,100,ear_clipping,0.016508374828845263,3.233616845018714,0.03233616845018714,65.59931413417638,0.6762815890121276,1.0098005610280665,0.04390207498290443,20.91409160160451,31.22820697151033,1.3576770868983505
convex_polygon_100_0000,convex,100,optimal_minsum,0.32608925038948655,3.233616845018714,0.03233616845018714,14.319368085393448,0.14762235139580873,0.9703129787649174,0.008876814422077033,4.565239435315793,30.007048616772707,0.27451658151000446
convex_polygon_100_0000,convex,100,optimal_minimax,0.3484495421871543,3.233616845018714,0.03233616845018714,42.47878942923634,0.43792566421893137,0.8761929968581447,0.04173317942493587,13.542905211343829,27.09637656075093,1.2906037240999821
convex_polygon_100_0000,convex,100,optimal_maximin,0.3432266670279205,3.233616845018714,0.03233616845018714,71.42345636271324,0.7363242923991056,1.0098005610280665,0.19001247146917558,22.770919613849433,31.22820697151033,5.876159130043
convex_polygon_100_0001,convex,100,ear_clipping,0.015289832837879658,3.2280336032392127,0.03228033603239213,65.87805794493892,0.679155236545762,1.0076393508288142,0.05453569177425856,21.039286451796993,31.215268323653294,1.6894400268799554
convex_polygon_100_0001,convex,100,optimal_minsum,0.33257825020700693,3.2280336032392127,0.03228033603239213,14.647938645313399,0.15100967675580823,0.9676246955026045,0.006552370983254789,4.678070160244787,29.975669848406433,0.20298335731944445
convex_polygon_100_0001,convex,100,optimal_minimax,0.3429469997063279,3.2280336032392127,0.03228033603239213,45.94046027046399,0.4736129924790102,0.8595423480694896,0.024216633162169637,14.67187305620849,26.62742876056093,0.7501976787933414
convex_polygon_100_0001,convex,100,optimal_maximin,0.345744333229959,3.2280336032392127,0.03228033603239213,67.25164958486491,0.6933159751017001,1.096996677444079,0.140537721345678,21.47796647488375,33.9834342598938,4.353663518392546
convex_polygon_100_0002,convex,100,ear_clipping,0.01594716589897871,3.247792602963794,0.03247792602963794,65.11740529494134,0.6713134566488798,1.1106537007256376,0.04412864970108796,20.66983760096837,34.19718672036211,1.3587274526340773
convex_polygon_100_0002,convex,100,optimal_minsum,0.34077066741883755,3.247792602963794,0.03247792602963794,14.799118362239877,0.15256823053855542,0.8857220117301425,0.01736680993483203,4.697597697566288,27.27150775951245,0.5347265684078422
convex_polygon_100_0002,convex,100,optimal_minimax,0.3383571249432862,3.247792602963794,0.03247792602963794,44.46459515323145,0.4583978881776438,0.8453777495448418,0.04412864970108796,14.114136714251083,26.029302141195434,1.3587274526340773
convex_polygon_100_0002,convex,100,optimal_maximin,0.3470801250077784,3.247792602963794,0.03247792602963794,75.24610665725054,0.7757330583221704,1.1106537007256376,0.13510411006198197,23.88493211094422,34.19718672036211,4.159874923623258
convex_polygon_100_0003,convex,100,ear_clipping,0.015395291149616241,3.286447919040554,0.03286447919040554,66.26112931264531,0.6831044259035599,1.0664600285995702,0.0594695158362327,20.78549372244382,32.45023365259696,1.8095377532589727
